Date,X,Y,Z,Equipo1,Equipo2
2011-11-15,112.39,602.5,2117.25,504.478,944.0466666666666
2011-11-16,111.88,602.5,2097.25,504.376,937.21
2011-11-17,108.22,602.5,2084.0,503.644,931.5733333333334
2011-11-18,107.56,607.5,2085.25,507.512,933.4366666666666
2011-11-21,106.88,607.5,2074.75,507.376,929.71
2011-11-22,109.03,607.5,2058.75,507.806,925.0933333333332
2011-11-23,107.02,607.5,2058.75,507.404,924.4233333333333
2011-11-24,107.78,607.5,2002.25,507.556,905.8433333333332
2011-11-25,106.4,607.5,1987.0,507.28,900.3000000000001
2011-11-28,109.0,607.5,2006.25,507.8,907.5833333333334
